Maroon	Gesztenyebarna	#800000	128	0	0
DarkRed	Sötét vörös	#8B0000	139	0	0
FireBrick	Téglavörös	#B22222	178	34	34
Red	Piros	#FF0000	255	0	0
Salmon	Lazac	#FA8072	250	128	114
Tomato	Paradicsom	#FF6347	255	99	71
Coral	Korall	#FF7F50	255	127	80
OrangeRed	Narancsvörös	#FF4500	255	69	0
Chocolate	Csokoládébarna	#D2691E	210	105	30
SandyBrown	Homokbarna	#F4A460	244	164	96
DarkOrange	Sötétnarancs	#FF8C00	255	140	0
Orange	Narancs	#FFA500	255	165	0
DarkGoldenrod	Sötét aranyrúd	#B8860B	184	134	11
Goldenrod	Aranyrúd	#DAA520	218	165	32
Gold	Arany	#FFD700	255	215	0
Olive	Oliva	#808000	128	128	0
Yellow	Sárga	#FFFF00	255	255	0
YellowGreen	Sárgászöld	#9ACD32	154	205	50
GreenYellow	Zöldessárga	#ADFF2F	173	255	47
Chartreuse	Karthauzi likõrzöld	#7FFF00	127	255	0
LawnGreen	Gyepzöld	#7CFC00	124	252	0
Green	Zöld	#008000	128	0	0
Lime	Neon limezöld	#00FF00	0	255	0
LimeGreen	Limezöld	#32CD32	50	205	50
SpringGreen	Tavaszzöld	#00FF7F	0	255	127
MediumSpringGreen	Közép-tavaszzöld	#00FA9A	0	250	154
Turquoise	Türkiz	#40E0D0	64	224	208
LightSeaGreen	Világos tengerzöld	#20B2AA	32	178	170
MediumTurquoise	Középtürkiz	#48D1CC	72	209	204
Teal	Zöldeskék	#008080	128	128	128
DarkCyan	Sötétcián	#008B8B	0	139	139
Aqua	Vízkék	#00FFFF	0	255	255
Cyan	Cián	#00FFFF	0	255	255
DarkTurquoise	Sötéttürkiz	#00CED1	0	206	209
DeepSkyBlue	Mélyégkék	#00BFFF	0	191	255
DodgerBlue	Közép világoskék	#1E90FF	30	144	255
RoyalBlue	Királykék	#4169E1	65	105	144
Navy	Tengerészkék	#000080	128	128	128
DarkBlue	Sötétkék	#00008B	0	0	139
MediumBlue	Középkék	#0000CD	0	0	205
Blue	Kék	#0000FF	0	0	255
BlueViolet	Kék ibolya	#8A2BE2	138	43	226
DarkOrchid	Sötét orchidea	#9932CC	153	50	204
